epoch,accuracy,shap_X,shap_Y,shap_A,shap_B,shap_EOS,shap_total
110,0.5266666666666666,3.970694397732452e-05,2.420389836010549e-05,4.3924640180288475e-05,0.0003329750000246489,6.769554553774351e-05,0.000508506028080111
111,0.4766666666666667,2.0385660340522286e-05,2.979483174890953e-05,4.5309345392263804e-05,0.00037266301418824077,7.668828555024792e-05,0.0005448411372201843
112,0.4766666666666667,3.072595035391041e-05,2.8381449355543333e-05,4.3327621405296686e-05,0.00037608382298331565,7.628492414230286e-05,0.0005548037682403689
113,0.52,4.745660067493628e-05,2.4037613305996213e-05,4.231759956321554e-05,0.0003426193085901134,6.771095349741121e-05,0.0005241420756316726
114,0.5316666666666666,4.657114880973056e-05,2.5615926724707675e-05,4.2597506439783995e-05,0.0003222412222358986,6.628801731625981e-05,0.0005033138215263806
115,0.485,4.8525886263329686e-05,2.366813357824598e-05,4.240799896646657e-05,0.00034722418434043146,7.059258937806593e-05,0.0005324187925265396
116,0.5366666666666666,5.4722066595517114e-05,2.3497194334426978e-05,4.282026588257562e-05,0.0003147541288648577,7.12777723191114e-05,0.0005070714279964887
117,0.4766666666666667,3.785364766089414e-05,2.8442291221398155e-05,4.302493816681751e-05,0.00036683787046288044,7.667658266068729e-05,0.0005528353301726775
118,0.47,5.490189380078746e-05,2.3367301197948918e-05,4.120976859054215e-05,0.00033390670249060315,7.433784978797182e-05,0.0005277235158678536
119,0.4766666666666667,5.633026615234688e-05,2.416753105515252e-05,4.150330839252931e-05,0.00034011060911070585,8.023075842761846e-05,0.0005423424731383531
120,0.53,6.533697426345531e-05,2.0479565884333738e-05,4.311365296780424e-05,0.0002943045898289679,7.171010409390674e-05,0.0004949448870384679
121,0.52,7.535361329630379e-05,1.918647192117836e-05,4.396426502467808e-05,0.00029887428461877183,7.549042361305233e-05,0.0005128690584739843
122,0.5,7.5118682119797e-05,1.771257097317613e-05,4.419933972357523e-05,0.0002959883192725398,7.15414447954151e-05,0.0005045603568845032
123,0.4666666666666667,6.983081713379185e-05,2.026925349922817e-05,4.563406770759887e-05,0.00029669401992221244,7.392303634017278e-05,0.0005063511946030041
124,0.47,8.043704295037228e-05,2.0517138175718067e-05,4.546821115760666e-05,0.0003006245273920151,7.361409365370886e-05,0.000520661013329421
125,0.4666666666666667,7.414629136784008e-05,2.1602367119932616e-05,4.612116688883399e-05,0.0003025469803483435,7.658597507741062e-05,0.0005210027808023608
126,0.455,8.653052323373871e-05,1.8355450693181617e-05,4.756097965860642e-05,0.0002911315539991108,7.191040753634246e-05,0.00051548891512098
127,0.47,8.445235339577605e-05,1.9955571353353597e-05,4.9333139792957426e-05,0.0003028362827811648,7.205880710815001e-05,0.0005286361544314019
128,0.46166666666666667,8.736456315333877e-05,1.921532138712118e-05,4.912610919680245e-05,0.0002873126427524665,7.36073593231207e-05,0.0005166259958128495
129,0.4766666666666667,8.360433378671854e-05,1.9645643037586492e-05,5.476039865174313e-05,0.00030010212697650094,7.830863657734334e-05,0.0005364211390298924
130,0.465,9.384169159966402e-05,1.7227691253841236e-05,5.486989912237228e-05,0.00026954531587582983,7.325579846760606e-05,0.0005087403963193135
131,0.47,9.7905467388315e-05,1.6183608539129773e-05,5.4658478506351246e-05,0.0002819693973367857,7.519870255101664e-05,0.0005259156543215984
132,0.49833333333333335,0.00010767560056868845,1.564617539231592e-05,6.069656006874771e-05,0.00026186139265992406,7.51929627592386e-05,0.0005210726914489148
133,0.4766666666666667,9.490935625150018e-05,1.5489909971721422e-05,6.271960281332281e-05,0.0002651323408679389,7.948237022459902e-05,0.0005177335801290823
134,0.4683333333333333,0.00010402475328373838,1.52032435639908e-05,6.122730663700744e-05,0.00026559075875583297,7.77108600831593e-05,0.0005237569223237289
135,0.4766666666666667,9.03428668871466e-05,1.9749706967559178e-05,6.321034177623608e-05,0.0002814749686125466,7.971758119565476e-05,0.0005344954654391432
136,0.4766666666666667,9.65902791334277e-05,1.6935832704701978e-05,6.375116574505502e-05,0.0002654740715478748,7.853013256764845e-05,0.0005212814816987079
137,0.4766666666666667,9.961813598837816e-05,1.4683828740359146e-05,6.77695826430122e-05,0.00026323289184068926,8.423031375356563e-05,0.0005295347529660043
