epoch,accuracy
1,0.49633333333333335
2,0.49633333333333335
3,0.49633333333333335
4,0.5036666666666667
5,0.49633333333333335
6,0.49633333333333335
7,0.5033333333333333
8,0.5036666666666667
9,0.504
10,0.49633333333333335
11,0.5143333333333333
12,0.5036666666666667
13,0.506
14,0.5103333333333333
15,0.5116666666666667
16,0.504
17,0.5106666666666667
18,0.5416666666666666
19,0.5246666666666666
20,0.5616666666666666
21,0.5096666666666667
22,0.6
23,0.6106666666666667
24,0.602
25,0.603
26,0.555
27,0.599
28,0.5743333333333334
29,0.6026666666666667
30,0.533
