epoch,stochastic
1,0.18441196301506438
2,0.21349990672669017
3,0.21555480741447028
4,0.2152614034732483
5,0.21664932846310042
6,0.22292702929750507
7,0.2237348519507266
8,0.22453323439737505
9,0.22669398587487802
10,0.2288720061304519
11,0.23596821765136428
12,0.2641653570493936
13,0.25895729871374995
14,0.2537345832556585
15,0.2504278327812935
16,0.28068199621026424
17,0.31272597585412304
18,0.3062865025433983
19,0.30038436886465325
20,0.3318639788580177
21,0.28969657147524236
22,0.41943773488089015
23,0.3274484295675412
24,0.2864542396392543
25,0.4271900697249056
26,0.30714738917338896
27,0.42073711733310987
28,0.41213416348592197
29,0.29049559603358555
30,0.2741923345041875
