accuracy,big_phi
0.7350000143051147,0.018642
0.7350000143051147,0.019033
0.7350000143051147,0.013107
1.0,0.012311
1.0,0.011897
1.0,0.013346
1.0,0.020083
1.0,0.014883
1.0,0.015773
1.0,0.011208
