train_loss,phi_star
5.198181896209717,0.28296129375906587
5.196129179000854,0.31858952316098865
5.170351963043213,0.31858952316098865
5.1616260433197025,0.4228233643418702
5.15074013710022,0.4228233643418702
5.147643313407898,0.5151371931709007
5.123255481719971,0.5151371931709007
5.122023510932922,0.5309313654412008
5.109472756385803,0.5309313654412008
5.097168736457824,0.4540696988940365
5.097949213981629,0.4540696988940365
5.084516382217407,0.9732057051541849
5.056777858734131,0.9732057051541849
5.05363513469696,0.7964434053530862
5.045973258018494,0.7964434053530862
5.016684923171997,0.8132791695083545
5.014171886444092,0.8132791695083545
5.002992773056031,1.2889037221172543
4.998663740158081,1.2889037221172543
4.990226893424988,1.443958955403879
4.976159901618957,1.443958955403879
4.974479603767395,1.175362581370068
4.96882574558258,1.175362581370068
4.9612280368804935,1.4961696064869243
4.9385099649429325,1.4961696064869243
4.926930856704712,1.6263359555615544
4.931217975616455,1.6263359555615544
4.929288163185119,1.8575097746170512
4.909583034515381,1.8575097746170512
4.898443360328674,1.6677928663239907
4.898228077888489,1.6677928663239907
4.884300622940064,1.9170523923738818
4.874396328926086,1.9170523923738818
4.867566876411438,1.7701953887967332
4.86037353515625,1.7701953887967332
4.84077633857727,2.3118987788130143
4.837653179168701,2.3118987788130143
4.838681335449219,4.028130771886557
4.8074951171875,4.028130771886557
4.809952731132507,2.138494791291094
4.817788858413696,2.138494791291094
4.798768525123596,2.0956846136845497
4.784886136054992,2.0956846136845497
4.785069689750672,2.5415783865305137
4.76819121837616,2.5415783865305137
4.779780759811401,2.863568863719656
4.745828800201416,2.863568863719656
4.748870191574096,2.7160767605737313
4.759360055923462,2.7160767605737313
4.741944541931153,2.0611392180688854
4.728611793518066,2.0611392180688854
4.740379118919373,2.8626104718127645
4.7041467714309695,2.8626104718127645
4.717975292205811,3.822781914358657
4.690610466003418,3.822781914358657
4.686462368965149,3.171963394412213
4.686030893325806,3.171963394412213
4.689955043792724,3.2652129274096304
4.687967658042908,3.2652129274096304
4.6585878562927245,2.9091070920306596
4.64821008682251,2.9091070920306596
4.652386198043823,2.2341451905024154
4.64098566532135,2.2341451905024154
4.626308598518372,3.326064844969115
4.639413089752197,3.326064844969115
4.648028087615967,2.9821504150586895
4.629233021736145,2.9821504150586895
4.614207849502564,3.4312078463467373
4.622810792922974,3.4312078463467373
4.631484007835388,3.6500683495725
4.623730773925781,3.6500683495725
4.610290675163269,3.537708712836189
