epoch,train_loss,val_loss,phi_star
1,5.198181896209717,5.309431114196777,0.28296129375906587
2,5.196129179000854,5.302664585113526,0.31858952316098865
3,5.170351963043213,5.300679035186768,0.31858952316098865
4,5.1616260433197025,5.297831726074219,0.4228233643418702
5,5.15074013710022,5.291667671203613,0.4228233643418702
6,5.147643313407898,5.2926280975341795,0.5151371931709007
7,5.123255481719971,5.289212474822998,0.5151371931709007
8,5.122023510932922,5.2993378257751464,0.5309313654412008
9,5.109472756385803,5.290443801879883,0.5309313654412008
10,5.097168736457824,5.28800048828125,0.4540696988940365
11,5.097949213981629,5.289269142150879,0.4540696988940365
12,5.084516382217407,5.290063495635986,0.9732057051541849
13,5.056777858734131,5.288576354980469,0.9732057051541849
14,5.05363513469696,5.2899308776855465,0.7964434053530862
15,5.045973258018494,5.28875961303711,0.7964434053530862
16,5.016684923171997,5.291663627624512,0.8132791695083545
17,5.014171886444092,5.286715087890625,0.8132791695083545
18,5.002992773056031,5.28942756652832,1.2889037221172543
19,4.998663740158081,5.291093826293945,1.2889037221172543
20,4.990226893424988,5.28902717590332,1.443958955403879
21,4.976159901618957,5.294226665496826,1.443958955403879
22,4.974479603767395,5.287344074249267,1.175362581370068
23,4.96882574558258,5.284678516387939,1.175362581370068
24,4.9612280368804935,5.286059322357178,1.4961696064869243
25,4.9385099649429325,5.2826449584960935,1.4961696064869243
26,4.926930856704712,5.280026817321778,1.6263359555615544
27,4.931217975616455,5.297414627075195,1.6263359555615544
28,4.929288163185119,5.284968147277832,1.8575097746170512
29,4.909583034515381,5.2891621589660645,1.8575097746170512
30,4.898443360328674,5.289282112121582,1.6677928663239907
31,4.898228077888489,5.28237018585205,1.6677928663239907
32,4.884300622940064,5.273935222625733,1.9170523923738818
33,4.874396328926086,5.278294162750244,1.9170523923738818
34,4.867566876411438,5.284932975769043,1.7701953887967332
35,4.86037353515625,5.280897922515869,1.7701953887967332
36,4.84077633857727,5.286207447052002,2.3118987788130143
37,4.837653179168701,5.285297908782959,2.3118987788130143
38,4.838681335449219,5.285874195098877,4.028130771886557
39,4.8074951171875,5.292420349121094,4.028130771886557
40,4.809952731132507,5.301615505218506,2.138494791291094
41,4.817788858413696,5.295635585784912,2.138494791291094
42,4.798768525123596,5.299135818481445,2.0956846136845497
43,4.784886136054992,5.30151216506958,2.0956846136845497
44,4.785069689750672,5.292773056030273,2.5415783865305137
45,4.76819121837616,5.298873119354248,2.5415783865305137
46,4.779780759811401,5.299085464477539,2.863568863719656
47,4.745828800201416,5.306199035644531,2.863568863719656
48,4.748870191574096,5.3083152580261235,2.7160767605737313
49,4.759360055923462,5.300710830688477,2.7160767605737313
50,4.741944541931153,5.307584533691406,2.0611392180688854
51,4.728611793518066,5.3189402770996095,2.0611392180688854
52,4.740379118919373,5.308779315948486,2.8626104718127645
53,4.7041467714309695,5.3179285430908205,2.8626104718127645
54,4.717975292205811,5.314881324768066,3.822781914358657
55,4.690610466003418,5.303569011688232,3.822781914358657
56,4.686462368965149,5.3179757690429685,3.171963394412213
57,4.686030893325806,5.321128082275391,3.171963394412213
58,4.689955043792724,5.31452449798584,3.2652129274096304
59,4.687967658042908,5.312321014404297,3.2652129274096304
60,4.6585878562927245,5.321572113037109,2.9091070920306596
61,4.64821008682251,5.323116455078125,2.9091070920306596
62,4.652386198043823,5.322640132904053,2.2341451905024154
63,4.64098566532135,5.32002857208252,2.2341451905024154
64,4.626308598518372,5.321434879302979,3.326064844969115
65,4.639413089752197,5.325224781036377,3.326064844969115
66,4.648028087615967,5.328178100585937,2.9821504150586895
67,4.629233021736145,5.323811988830567,2.9821504150586895
68,4.614207849502564,5.330525817871094,3.4312078463467373
69,4.622810792922974,5.337650756835938,3.4312078463467373
70,4.631484007835388,5.329810390472412,3.6500683495725
71,4.623730773925781,5.326494235992431,3.6500683495725
72,4.610290675163269,5.327508220672607,3.537708712836189
73,4.598344750404358,5.31939281463623,3.537708712836189
74,4.5837228488922115,5.3603098487854,3.348813662933127
75,4.586294326782227,5.340825023651123,3.348813662933127
76,4.569444270133972,5.346576061248779,3.814273814516709
77,4.575405945777893,5.342651348114014,3.814273814516709
78,4.566130747795105,5.337900505065918,3.482312449953067
79,4.566629605293274,5.339913787841797,3.482312449953067
80,4.544868378639221,5.3391936492919925,3.8619321323526137
81,4.553859076499939,5.3455948066711425,3.8619321323526137
82,4.5491047906875615,5.346575584411621,4.253252749239633
83,4.543418135643005,5.341848163604737,4.253252749239633
84,4.533489961624145,5.3531708335876464,3.3073516260609046
85,4.533568730354309,5.337615966796875,3.3073516260609046
86,4.538992652893066,5.353595695495605,3.9030177750033275
87,4.524914112091064,5.353332691192627,3.9030177750033275
88,4.505367617607117,5.360293998718261,3.840093613068812
89,4.528438348770141,5.362791614532471,3.840093613068812
90,4.5070999717712406,5.3548118591308596,3.9873861911864514
91,4.505998754501343,5.349800052642823,3.9873861911864514
92,4.510217680931091,5.347609233856201,4.73288657971822
93,4.478753585815429,5.36283805847168,4.73288657971822
94,4.481919722557068,5.365219650268554,4.619125135321707
95,4.472641997337341,5.374214096069336,4.619125135321707
96,4.4842549991607665,5.374001617431641,4.442357018815768
97,4.47264416217804,5.376576671600342,4.442357018815768
98,4.46452160358429,5.385265922546386,4.061950489458471
99,4.453249073028564,5.386017570495605,4.061950489458471
100,4.457398543357849,5.381116905212402,4.403453632444902
101,4.4349658489227295,5.375097541809082,4.403453632444902
102,4.450215377807617,5.381263637542725,4.098695932220991
103,4.448025631904602,5.384711227416992,4.098695932220991
104,4.434261608123779,5.392709846496582,4.134859664927735
105,4.453398919105529,5.390386219024658,4.134859664927735
106,4.4138080549240115,5.380556049346924,4.849295198902155
107,4.427714166641235,5.389591541290283,4.849295198902155
108,4.414475612640381,5.401995658874512,4.703862926179786
109,4.424170770645142,5.391909122467041,4.703862926179786
110,4.392387771606446,5.400781211853027,4.768401733714104
111,4.409116253852845,5.404400501251221,4.768401733714104
112,4.389564719200134,5.3954499816894534,4.5813112761398385
113,4.408242321014404,5.399640083312988,4.5813112761398385
114,4.413334875106812,5.406657409667969,4.3467560646009265
115,4.3970193195343015,5.400773010253906,4.3467560646009265
116,4.389955196380615,5.40438777923584,4.20440273808655
117,4.395984454154968,5.39990198135376,4.20440273808655
118,4.381347889900208,5.410421504974365,4.323492977317352
119,4.383167924880982,5.407109298706055,4.323492977317352
120,4.365938439369201,5.415677700042725,4.202961974143275
121,4.364824123382569,5.4139191436767575,4.202961974143275
122,4.364607591629028,5.410528182983398,4.542754386316673
123,4.3711118268966676,5.418694305419922,4.542754386316673
124,4.350864386558532,5.422335548400879,4.523066134969381
125,4.362594420909882,5.430496654510498,4.523066134969381
126,4.322671322822571,5.426030712127686,4.370634203611726
127,4.344061050415039,5.429185638427734,4.370634203611726
128,4.343776545524597,5.428842449188233,4.804227019481911
129,4.319111468791962,5.433338565826416,4.804227019481911
130,4.317009015083313,5.432821388244629,4.5147733824818745
131,4.325910840034485,5.429171829223633,4.5147733824818745
