epoch,phi_star
1,0.28296129375906587
2,0.31858952316098865
3,0.31858952316098865
4,0.4228233643418702
5,0.4228233643418702
6,0.5151371931709007
7,0.5151371931709007
8,0.5309313654412008
9,0.5309313654412008
10,0.4540696988940365
11,0.4540696988940365
12,0.9732057051541849
13,0.9732057051541849
14,0.7964434053530862
15,0.7964434053530862
16,0.8132791695083545
17,0.8132791695083545
18,1.2889037221172543
19,1.2889037221172543
20,1.443958955403879
21,1.443958955403879
22,1.175362581370068
23,1.175362581370068
24,1.4961696064869243
25,1.4961696064869243
26,1.6263359555615544
27,1.6263359555615544
28,1.8575097746170512
29,1.8575097746170512
30,1.6677928663239907
31,1.6677928663239907
32,1.9170523923738818
33,1.9170523923738818
34,1.7701953887967332
35,1.7701953887967332
36,2.3118987788130143
37,2.3118987788130143
38,4.028130771886557
39,4.028130771886557
40,2.138494791291094
41,2.138494791291094
42,2.0956846136845497
43,2.0956846136845497
44,2.5415783865305137
45,2.5415783865305137
46,2.863568863719656
47,2.863568863719656
48,2.7160767605737313
49,2.7160767605737313
50,2.0611392180688854
51,2.0611392180688854
52,2.8626104718127645
53,2.8626104718127645
54,3.822781914358657
55,3.822781914358657
56,3.171963394412213
57,3.171963394412213
58,3.2652129274096304
59,3.2652129274096304
60,2.9091070920306596
61,2.9091070920306596
62,2.2341451905024154
63,2.2341451905024154
64,3.326064844969115
65,3.326064844969115
66,2.9821504150586895
67,2.9821504150586895
68,3.4312078463467373
69,3.4312078463467373
70,3.6500683495725
71,3.6500683495725
72,3.537708712836189
73,3.537708712836189
74,3.348813662933127
75,3.348813662933127
76,3.814273814516709
77,3.814273814516709
78,3.482312449953067
79,3.482312449953067
80,3.8619321323526137
81,3.8619321323526137
82,4.253252749239633
83,4.253252749239633
84,3.3073516260609046
85,3.3073516260609046
86,3.9030177750033275
87,3.9030177750033275
88,3.840093613068812
89,3.840093613068812
90,3.9873861911864514
91,3.9873861911864514
92,4.73288657971822
93,4.73288657971822
94,4.619125135321707
95,4.619125135321707
96,4.442357018815768
97,4.442357018815768
98,4.061950489458471
99,4.061950489458471
100,4.403453632444902
101,4.403453632444902
102,4.098695932220991
103,4.098695932220991
104,4.134859664927735
105,4.134859664927735
106,4.849295198902155
107,4.849295198902155
108,4.703862926179786
109,4.703862926179786
110,4.768401733714104
111,4.768401733714104
112,4.5813112761398385
113,4.5813112761398385
114,4.3467560646009265
115,4.3467560646009265
116,4.20440273808655
117,4.20440273808655
118,4.323492977317352
119,4.323492977317352
120,4.202961974143275
121,4.202961974143275
122,4.542754386316673
123,4.542754386316673
124,4.523066134969381
125,4.523066134969381
126,4.370634203611726
127,4.370634203611726
128,4.804227019481911
129,4.804227019481911
130,4.5147733824818745
131,4.5147733824818745
132,4.7796532210552325
133,4.7796532210552325
134,4.893842875227407
135,4.893842875227407
136,4.720348108647484
137,4.720348108647484
138,4.575499635718424
139,4.575499635718424
140,4.636806317422727
141,4.636806317422727
142,4.916789447107004
143,4.916789447107004
144,4.475368203597988
145,4.475368203597988
146,4.916656195920096
147,4.916656195920096
148,4.571828603919709
149,4.571828603919709
150,4.747031962234102
151,4.747031962234102
152,4.848501660778899
153,4.848501660778899
154,4.592794792442028
155,4.592794792442028
156,4.695762452953753
157,4.695762452953753
158,5.161109361338564
159,5.161109361338564
160,4.887965754972535
161,4.887965754972535
162,4.85781323882442
163,4.85781323882442
164,4.944631004501625
165,4.944631004501625
166,4.729593708781196
167,4.729593708781196
168,4.35923629672701
169,4.35923629672701
170,4.92371175955487
171,4.92371175955487
172,4.68481648188631
173,4.68481648188631
174,4.7809516491327155
175,4.7809516491327155
176,4.874341411357438
177,4.874341411357438
178,4.7328320387918
179,4.7328320387918
180,4.692047697228825
181,4.692047697228825
182,4.498536859239592
183,4.498536859239592
184,4.8311907621048205
185,4.8311907621048205
186,4.897346806347535
187,4.897346806347535
188,5.232044524466349
189,5.232044524466349
190,4.771721330846014
191,4.771721330846014
192,5.117280162064395
193,5.117280162064395
194,5.027962905429245
195,5.027962905429245
196,4.657387939688382
197,4.657387939688382
198,5.49001163481791
199,5.49001163481791
200,4.885486378705121
