epoch,train_loss,val_loss
1,5.198181896209717,5.309431114196777
2,5.196129179000854,5.302664585113526
3,5.170351963043213,5.300679035186768
4,5.1616260433197025,5.297831726074219
5,5.15074013710022,5.291667671203613
6,5.147643313407898,5.2926280975341795
7,5.123255481719971,5.289212474822998
8,5.122023510932922,5.2993378257751464
9,5.109472756385803,5.290443801879883
10,5.097168736457824,5.28800048828125
11,5.097949213981629,5.289269142150879
12,5.084516382217407,5.290063495635986
13,5.056777858734131,5.288576354980469
14,5.05363513469696,5.2899308776855465
15,5.045973258018494,5.28875961303711
16,5.016684923171997,5.291663627624512
17,5.014171886444092,5.286715087890625
18,5.002992773056031,5.28942756652832
19,4.998663740158081,5.291093826293945
20,4.990226893424988,5.28902717590332
21,4.976159901618957,5.294226665496826
22,4.974479603767395,5.287344074249267
23,4.96882574558258,5.284678516387939
24,4.9612280368804935,5.286059322357178
25,4.9385099649429325,5.2826449584960935
26,4.926930856704712,5.280026817321778
27,4.931217975616455,5.297414627075195
28,4.929288163185119,5.284968147277832
29,4.909583034515381,5.2891621589660645
30,4.898443360328674,5.289282112121582
31,4.898228077888489,5.28237018585205
32,4.884300622940064,5.273935222625733
33,4.874396328926086,5.278294162750244
34,4.867566876411438,5.284932975769043
35,4.86037353515625,5.280897922515869
36,4.84077633857727,5.286207447052002
37,4.837653179168701,5.285297908782959
38,4.838681335449219,5.285874195098877
39,4.8074951171875,5.292420349121094
40,4.809952731132507,5.301615505218506
41,4.817788858413696,5.295635585784912
42,4.798768525123596,5.299135818481445
43,4.784886136054992,5.30151216506958
44,4.785069689750672,5.292773056030273
45,4.76819121837616,5.298873119354248
46,4.779780759811401,5.299085464477539
47,4.745828800201416,5.306199035644531
48,4.748870191574096,5.3083152580261235
49,4.759360055923462,5.300710830688477
50,4.741944541931153,5.307584533691406
51,4.728611793518066,5.3189402770996095
52,4.740379118919373,5.308779315948486
53,4.7041467714309695,5.3179285430908205
54,4.717975292205811,5.314881324768066
55,4.690610466003418,5.303569011688232
56,4.686462368965149,5.3179757690429685
57,4.686030893325806,5.321128082275391
58,4.689955043792724,5.31452449798584
59,4.687967658042908,5.312321014404297
60,4.6585878562927245,5.321572113037109
61,4.64821008682251,5.323116455078125
62,4.652386198043823,5.322640132904053
63,4.64098566532135,5.32002857208252
64,4.626308598518372,5.321434879302979
65,4.639413089752197,5.325224781036377
66,4.648028087615967,5.328178100585937
67,4.629233021736145,5.323811988830567
68,4.614207849502564,5.330525817871094
69,4.622810792922974,5.337650756835938
70,4.631484007835388,5.329810390472412
71,4.623730773925781,5.326494235992431
72,4.610290675163269,5.327508220672607
73,4.598344750404358,5.31939281463623
74,4.5837228488922115,5.3603098487854
75,4.586294326782227,5.340825023651123
76,4.569444270133972,5.346576061248779
77,4.575405945777893,5.342651348114014
78,4.566130747795105,5.337900505065918
79,4.566629605293274,5.339913787841797
80,4.544868378639221,5.3391936492919925
81,4.553859076499939,5.3455948066711425
82,4.5491047906875615,5.346575584411621
83,4.543418135643005,5.341848163604737
84,4.533489961624145,5.3531708335876464
85,4.533568730354309,5.337615966796875
86,4.538992652893066,5.353595695495605
87,4.524914112091064,5.353332691192627
88,4.505367617607117,5.360293998718261
89,4.528438348770141,5.362791614532471
