state,phi_star
0011001000011000,4.641317395793708
1110000010101001,4.631140160061336
0010001000011000,4.627976542572326
1110001010111100,4.626667634192074
1110000010100001,4.626396981516443
1110000010110011,4.620408734379377
1100001001010001,4.61455934630694
1101001001110101,4.612631745231319
1110000000100010,4.609382707263764
1100001010101001,4.603657731862757
1011001010010000,4.601428424460036
0100000000101011,4.599030218040321
0100001000111000,4.59564122025699
1010000001111101,4.595003687013111
1110000100011000,4.593560021369953
1100000010110001,4.592206238788272
1011110000000001,4.591542135735587
0011000001010000,4.590463841784045
1110100000110010,4.589542110142468
1000000001000010,4.589394006663417
1010011000001011,4.584623867044534
0101001000011100,4.584574501610114
0001001000101010,4.5843585030590805
1010010010000010,4.583373401808566
1111000001101001,4.580733519370883
1000000000000100,4.57745091483439
0011001011110000,4.575311165061789
0111101011011101,4.575292653859108
1110100000001010,4.575257137504291
1110100101111000,4.575068555048107
1110000010000011,4.574832236212004
0110011000100010,4.572966797437975
1011001011101000,4.572485507161959
1100011001010010,4.572096365682894
1110001101111010,4.568960675086721
0010000001100001,4.567740981825665
1101000011000001,4.567713947813036
1010110000000111,4.567329378638652
0001000001001000,4.566383793323882
0010011010011000,4.566306509777396
0100101000111001,4.566085469028063
0111001010010001,4.565490300544685
1101001001001100,4.564117543245503
1011101010100011,4.563989162944587
1011011000000000,4.563874582879624
1000011000001001,4.563869404403656
1001000100010001,4.562892373941409
0001001001001101,4.562516865448034
1010001100111101,4.5616857630679295
1110010000100111,4.561681329908279
0011000000010101,4.561456070962407
0010000100010101,4.559820361491881
0100110000111101,4.559445788980408
0100100001010010,4.559432822198852
0001100010110001,4.559282602116297
1101000010011100,4.559210772149728
1000000010000100,4.558488111671404
1101100011011000,4.557411227728828
0010000010010010,4.556989498952614
0000001001111010,4.556986978344659
1010001110000000,4.556837008443807
0110101000011101,4.5566538362365865
1000000101100000,4.55664780579205
0001101010110001,4.5561392792018065
1010000110001010,4.555733621368477
1000010000111101,4.555476736939307
1110010101100000,4.555343380695831
1000110000100010,4.554901192737736
1000000011001001,4.554873765832626
1101001100111010,4.554834857617946
1110001101100000,4.554809417088379
1110000110111100,4.554724815758441
1100010100110000,4.554211888142252
1110010011011010,4.55401684040919
0000000001010101,4.5538488252244695
1101000110111000,4.553791482591718
1010010011111100,4.5533708767610115
1010011010111111,4.553121750088151
0100011001001100,4.552454255420383
0111000011111010,4.552215563569783
0010100001011100,4.551436010840685
1001000100010100,4.551068879641579
1010100010011000,4.550399284249078
1001001011111110,4.549602577354888
1011000010000101,4.549360574564991
0100100000110010,4.548974645829248
0000100000011000,4.548898013506889
1010010000000111,4.548284956561424
0111100000010110,4.548159937229697
1001001101111000,4.547908887585117
0101001011111100,4.547698373496328
0001100011111001,4.547321012875148
1000010000101011,4.547282954868708
0110000010000011,4.54692449265422
0011101000101100,4.546512082799344
1011000100110111,4.545978075144184
1111011000111111,4.54556173440027
0000100010111001,4.545345728887059
0111110000001001,4.545340731142054
1101100001001000,4.544810182536091
0011101010011011,4.544541733447467
1001000001000001,4.544356989815907
0010101011100001,4.543242776201428
1110010001100001,4.543124640823397
1010100010001011,4.542550679481245
0000011001101000,4.542549343363545
1111111000011011,4.5419137124192
1100000111010001,4.541290401708506
1110001001011111,4.54090067292811
1011000011100101,4.540444434596236
1000111000010110,4.539988346129043
1011010100000010,4.53942661405685
0010110010110001,4.538603959643866
0101100000010110,4.5377186330091
1001101011010000,4.537322874766215
0100100001000001,4.5362902327496295
0111011001010000,4.5358261990913045
0100100000001011,4.535355693296784
1010101010010011,4.534474512645895
1010101100011001,4.533733519815758
0010100110001100,4.533600816041719
0101101001110010,4.533558170078534
0110101010111110,4.53307817081072
0110111000011100,4.53263813032612
1111010001100001,4.532336651602757
1111100010101011,4.531878050921211
0000001101101100,4.5312835007172545
0000010010101111,4.531079328093673
0011000100011110,4.530802924423258
0011100001101100,4.530348979197761
0101110001111010,4.53031761936588
0110101110011100,4.529669861706919
0010001100011111,4.52966747309131
0101011100110100,4.5294708747105865
1010110001110101,4.529309594674284
0111001100011101,4.529298563364253
1100000101001101,4.528875542582517
0000011000100100,4.527975807047025
0010001011011110,4.527864575837386
1000001011010100,4.5278197462044485
0001000111111010,4.5274393507146575
1110010010000010,4.526827246740611
1111110001100011,4.526481680070397
0001011000001101,4.526449304479655
1001011011010001,4.52635923751134
0100011001100001,4.526028893508984
0111010000111001,4.5260144093395756
0001100001101010,4.52548563574246
1011000010010110,4.525124890639876
0110101001110100,4.525049261738953
0010010001010100,4.524816596285241
1101011011100000,4.524799333157581
1000001001011110,4.524478711163258
0111111010101000,4.524127758969982
0010101010101011,4.523451894521578
1000011000101110,4.523238087789196
1001110001110001,4.523007738817443
1111100000001110,4.522932666505437
1101011001100101,4.522906651180091
1000010001101100,4.522311747431238
0110011001110110,4.521411308136615
0111000111010000,4.521110842671169
1010011001111000,4.520932026586982
1101110010000000,4.519703387362737
0010010011011101,4.519039250121541
0100111001111110,4.5189373698027016
0011101101111001,4.518522308919497
1111111010111111,4.51825737832865
0010001011100111,4.517787974180791
0110001111011010,4.517721013649766
0010110010110000,4.517551913491632
0101010100010010,4.516854045375645
1011000111100001,4.516625305594445
1111010101101000,4.51595520625878
1110010110101001,4.515775029190949
1100000100010010,4.515598608376483
0110111001000001,4.5152913664526375
0011101100011111,4.514466541220816
0001001011010011,4.513744318333153
0101011010010100,4.512543912510964
1000101011010000,4.512496773172346
0010101011000100,4.5123424602477895
1011010010111011,4.512278617666137
1010001111000001,4.512273982999258
0110100100011100,4.512072319558807
1000000110001100,4.512038862935537
1100111010010011,4.511435751219602
0101100001000010,4.511356203963386
1100100100011011,4.511024080971119
0010001101001110,4.51004604982753
1001101001100011,4.510030599574305
0101101101001001,4.509827299388121
0101011100101001,4.509614817207405
1101101011001010,4.508995379817269
0101011001001001,4.508808785837744
1010001100100100,4.507696510812533
1100010001111110,4.5070658415008715
0101001110011010,4.506999200578603
0111100001101110,4.5068330592543004
0011000001101110,4.506500856536611
0000111011100001,4.506323204576861
0011000100011010,4.506184282974154
0010100101011100,4.505396690880507
0100110010110011,4.505202274846093
0011110100011000,4.504818655580176
0000010100110000,4.504540059612969
0001000110101010,4.504420436133161
1110000101001101,4.504349239824517
1101010010100111,4.503206625326387
0000101001010011,4.502569994119048
1001101011110000,4.502488530796489
0110100101110010,4.502409106242585
1000111010001001,4.502195263623707
0111001010010111,4.502042969836575
0011100100101010,4.501891993218726
0000100111011000,4.501787301867385
1001101111000001,4.50158699361227
0011010011100101,4.501463860560229
0101011011011100,4.5014342049087475
1011100110110010,4.501402012788975
0101010000000100,4.501362028318921
0101111010011000,4.5007929319638205
1011111011100011,4.500694729267567
0010110011101011,4.500501122097812
0101010010100100,4.500325034040909
0000001101000101,4.500231239396892
1000101001010110,4.500203813656716
0100001101100100,4.500035038738206
1101100110011001,4.4997450874720375
0000000110101100,4.499669959301096
1101101011111100,4.4996468136899015
1001011100110101,4.499146451498853
0010100101000011,4.498985098580265
1101001110101110,4.498705087414361
0011101011101100,4.498113469274149
1101001111011100,4.498073693302166
0100101101001101,4.497781963455466
0010010101001011,4.4967389012036545
0000011011110111,4.496361975023175
1111110110010000,4.496111286304646
0101110000111101,4.495734831694381
0000001100000111,4.495639345114867
1011011101000101,4.4956305391962195
0000001110001000,4.495518537974936
1001101001100111,4.495439213724434
0011000001000111,4.4953905267738925
0100100101010000,4.494962092551445
1010111100001001,4.494532147617171
1011111000010110,4.494488610809208
0010011100010111,4.494459495706503
0100010011010111,4.494459354821114
1001010010010110,4.494439984876827
1111100110010110,4.494010585252758
1000111010001010,4.493141112387313
0100000110010110,4.4930727813693565
0110110000110100,4.492898748529216
0100101011101101,4.492684320812788
0011010100101001,4.491755045529164
1110101111011001,4.4913590507243235
0001000111001000,4.490685552380672
1000001101101010,4.489911492743202
1010001111111101,4.489839475919889
1000111110100001,4.489838538197759
1001000100011011,4.48970699875022
1100111001001111,4.489695579030847
1100011100110111,4.489188824999827
0010110100001001,4.488938608431349
1110010011101011,4.488869362768777
0011111100111001,4.4880497088196485
1011011011000100,4.4874284899758035
1000000100100110,4.48649731053753
0101000111111110,4.486486061264164
0101000110100100,4.486400034746435
0100100010110111,4.486397665283904
1001110010111101,4.486065360578637
1011100101110010,4.485232907136941
0110111100000010,4.484993480055108
1011110111000000,4.484571234493165
0011100010010110,4.483927795310944
0101100011100001,4.483872470526686
0000011011011000,4.48349129856888
1101010011101001,4.483110873328156
0001111010110000,4.4826884183978795
1101100001101001,4.482661303413904
0100100001000111,4.481971188807023
0100101110111100,4.481597804174784
1001100101000000,4.4815884970967295
0000001111001000,4.481350209224809
0011000101010111,4.481073360243025
0100110010010011,4.480559749936228
0100010110111001,4.479802926704798
0110000010101110,4.479514532213258
0101001111000011,4.47933683869512
1100101100101011,4.479331732020495
1110100001001101,4.478275237266674
0111100101010110,4.4781607558646295
1011010110110011,4.477574952374579
0101000001101110,4.477416750968175
0000100100100110,4.476962031979194
0101011001111110,4.476589088397546
1010101001001111,4.475865949287672
1110101101100100,4.475711426266418
1000010111101011,4.475625308901005
0101011011011110,4.475519300033037
0010111010111011,4.475474823806335
1100110101000000,4.474284118227997
0000110111111000,4.4741915440735385
0111101101110011,4.473151579080469
0110010101001001,4.473078818498081
0100011001100111,4.472836201203077
0011010101011001,4.472497254698959
0101011011000100,4.472361612641218
0100101001000111,4.471889691148055
0010100111011011,4.471481066206296
0111101011001001,4.471345372071493
1111110100111010,4.47111091738847
0011001100001111,4.470885158552118
