1.484522242015852075e-03,1.329615573283763263e-03,1.781426690419022534e-03,0.000000000000000000e+00,1.845325691271009205e-01,9.442852348126920536e-02,2.439780032530400322e-02,1.587793354503911356e-03,6.415717863320682772e-03,3.885575607363230509e-03,9.036222342705187041e-05,1.290888906100741006e-05,3.482560090878579206e-01,3.103942374719231845e-01,1.540030464978183952e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.325355639893630658e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.290888906100741006e-05,1.807244468541037300e-03,3.872666718302223018e-05,1.807244468541037408e-04,1.290888906100741006e-05,0.000000000000000000e+00,3.872666718302223018e-05,0.000000000000000000e+00,5.163555624402964023e-05,2.349417809103348468e-03,8.648955670874965010e-04,1.290888906100741006e-05
2.172541873992571513e-03,2.522951853668792613e-03,2.838320835377391473e-03,0.000000000000000000e+00,1.664096993482374331e-01,1.609783446632560011e-01,1.261475926834396306e-03,0.000000000000000000e+00,1.783586796551965906e-02,1.044221739435139198e-02,3.504099796762211541e-04,0.000000000000000000e+00,2.050599201065246291e-01,4.085780363024739126e-01,9.601233443128459957e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.366598920737262593e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.417828859765926326e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.504099796762211812e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.412502628074847819e-03,1.717008900413483693e-03,0.000000000000000000e+00
7.047056149124801376e-03,3.056250157864160918e-03,4.470713040842616039e-03,0.000000000000000000e+00,1.296759364502033385e-01,7.021797883357328018e-02,1.228562046929857765e-01,1.230077542875906114e-02,1.376575484327246038e-02,9.522366194337097620e-03,1.262913288373620178e-04,0.000000000000000000e+00,1.349296557298375887e-01,2.987547674976636092e-01,2.192417468616604873e-02,2.601601374049657828e-03,0.000000000000000000e+00,1.616529009118233958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.562552095173144723e-03,1.081053774847818942e-02,3.217903058775984509e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.515495946048344268e-04,0.000000000000000000e+00,2.020661261397792448e-04,6.683337122073199077e-02,1.464979414513399580e-02,3.374504306534313602e-02
2.830112395892293853e-03,2.830112395892293853e-03,4.043017708417562771e-03,0.000000000000000000e+00,3.735748362577828025e-02,1.123958922940082421e-02,7.439152583488315915e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.169725883399369115e-01,5.023853804479663232e-01,4.932481604269426875e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.617207083367025152e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.617207083367025152e-04,4.123878062585913974e-03,2.425810625050537728e-04,3.234414166734050303e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.051184604188566294e-03,9.476833508530767280e-02,7.439152583488315915e-03,2.425810625050537728e-04
8.203843948948495723e-02,4.349334701143529880e-02,1.986392300033189562e-01,9.093926319283106297e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.501734906315059015e-01,2.141477838457592764e-01,3.994810367196693218e-02,6.216999064659203822e-02,0.000000000000000000e+00,1.508614187007814548e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.051685122046887965e-05,1.176719065866095463e-03,9.096943547657122472e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.827565398425006553e-04,2.157318287421175051e-03,5.431011073228132237e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.628723524747989482e-01,1.078642352852342695e-01,1.005021331219088654e-01,1.283648582323403987e-02,3.775437006833540980e-05,1.132631102050062294e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.891116396722920812e-01,3.610450409634915481e-01,3.945331672141050294e-02,1.023143428851889560e-02,0.000000000000000000e+00,3.775437006833540980e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.132631102050062294e-04,7.550874013667081960e-05,1.812209763280099670e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.304979801412013626e-03,3.020349605466832784e-03,4.568278778268584396e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.939132462686567193e-01,8.628731343283582711e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.162313432835820604e-04,4.046175373134328068e-02,2.290111940298507343e-01,2.409048507462686617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.227145522388059712e-02,3.381529850746268356e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.332089552238805926e-04,0.000000000000000000e+00,4.197761194029850720e-03,2.810167910447761153e-02,1.976445895522388196e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.177856301531213234e-02,0.000000000000000000e+00,6.360424028268550634e-02,7.067137809187279060e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.716136631330977103e-02,1.213191990577149604e-01,3.015312131919905547e-01,8.480565371024735566e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060070671378091946e-02,4.711425206124852418e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.889281507656066172e-03,1.213191990577149604e-01,3.769140164899881934e-02,1.425206124852768097e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.038573692129475578e-03,1.371449875504307352e-03,1.318189686164334328e-03,0.000000000000000000e+00,2.955008455055057603e-01,6.666844200631133477e-02,4.007829247832976442e-03,6.657523667496637379e-05,1.464655206849260305e-04,1.331504733499327611e-05,0.000000000000000000e+00,0.000000000000000000e+00,3.375630800367495077e-01,2.717334860125427687e-01,1.551203014526716592e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.459169407347243003e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.730956153549125963e-04,1.051888739464468779e-03,1.730956153549125963e-04,1.331504733499327611e-05,0.000000000000000000e+00,1.331504733499327611e-05,0.000000000000000000e+00,0.000000000000000000e+00,4.127664673847915799e-04,2.130407573598923961e-03,5.326018933997309903e-04,1.331504733499327611e-05
1.661063871860787074e-03,1.608331685452508075e-03,2.201568782545646440e-03,0.000000000000000000e+00,1.982334717553226600e-01,6.809043569969019938e-02,3.163931184496737259e-04,0.000000000000000000e+00,1.450135126227671131e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.593830334190231124e-01,3.472809966383231250e-01,1.479137828752224645e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.437149825324632329e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.331487706809043490e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.954913980620921573e-05,3.032100718476039760e-03,1.041460681563509318e-03,0.000000000000000000e+00
