epoch,phi
1,5.589138207971445
2,3.8566186788787604
3,4.30250656464446
4,6.0752354436552025
5,5.361860689039602
6,6.160718036774725
7,5.133308102101978
8,6.224112744125719
9,6.88075037854999
10,10.197581597491691
11,9.117870568751428
12,10.819878746845774
13,9.934785472057612
14,11.646186207605481
15,11.8116827595737
16,9.628546200923907
17,11.014054596067453
18,12.17105947905695
19,10.492267820152293
20,13.82297246677841
21,20.054507059184658
22,20.391516275469286
23,16.92193042457137
24,20.694826499039948
25,19.723289977671826
26,20.83752083065123
27,20.883288011264725
28,20.141842781387084
29,21.874868354027655
30,21.73036225504609
31,20.274913099484976
32,19.422950479423235
33,16.60143268303402
34,14.914222452157972
35,9.82884212442957
36,8.484148559393034
37,8.151267606906195
38,8.491824891193644
39,8.07292064092519
40,8.517964224342194
41,8.672861570703724
42,8.199663320094693
43,8.125405693527426
44,7.4140896013248465
45,7.779135243002685
46,7.630845638297764
47,10.651185548738013
48,10.44616293338187
49,10.164956491901911
50,9.92885931444232
51,9.533848455563884
52,9.074438180802133
53,8.983528540540249
54,8.599381483068093
55,15.57593128869513
56,12.371761356010808
57,12.740164380785437
58,12.565486663139858
59,12.875278299688375
60,12.141080209534138
61,11.18287090358487
62,9.893925293769655
63,17.340090820314856
64,18.167496785404296
65,19.23672027891687
66,17.807185993979715
67,15.833794186629838
68,15.65364069888738
69,15.032010112435174
70,15.097826773498142
71,14.01683194988351
72,13.27267026579608
73,12.792234801010778
74,10.128805977636581
75,8.042369214534766
76,7.083034109650335
77,11.875728869998284
78,11.171234288587293
79,10.758170781164551
80,11.24697435474252
81,8.969504745537392
82,6.710262682588919
83,9.864149172469354
84,10.879399046206238
85,10.2918590494614
86,10.532688821485337
87,8.93783885978214
88,10.068237466997132
89,10.52253924012841
90,10.02117944109444
91,8.405116143596423
92,9.652170601600787
93,8.00797714839986
94,7.654338592177417
95,7.156009458423057
96,9.13558749321718
97,8.04659758814902
98,7.348126119349573
99,6.8950064555663815
100,6.771512488943614
101,6.974881061160573
102,11.978781344345137
103,11.916909261944134
104,11.827633458676424
105,11.860761880903205
106,12.238912669248464
107,12.537913421220118
108,12.709541130769828
109,8.936154597277593
110,10.768861963076603
111,11.02538583431678
112,10.521729183952083
113,9.641124497212665
114,8.666502035290875
115,7.800028967806433
116,7.232556488115904
117,5.888689124330504
118,6.5696341687148845
119,7.2035426367375806
120,7.369453762056963
121,7.937578366617011
122,7.919187400928067
123,7.970680529851293
124,8.085538976842308
125,8.13591062777941
126,8.179997924141375
127,11.386602335046014
128,9.33513969348624
129,9.661028350950367
130,10.432794575533507
131,10.610830955293103
132,10.817840383415927
133,11.040198282693986
134,11.061537641090283
135,11.328577474318955
136,11.442996393038385
137,11.551073352332267
138,11.666377517790217
139,11.624718830259752
140,11.71330510883925
141,11.737919173565025
142,11.68186436802199
143,11.693449279864296
144,11.604943985851271
145,11.498591188734366
146,11.711009866113208
147,11.773784970049327
148,11.774537957805443
149,11.553192199265112
150,11.543010618852193
151,11.666865915355338
152,11.789128610741471
153,11.498003335895916
154,11.62246444626475
155,11.812266697862285
156,11.586677852978568
157,12.131025882862062
158,11.701266748191458
159,8.527577245689649
160,9.5442233844595
161,9.635948086989735
162,8.778520605900589
163,8.168668761857987
164,7.78797459794081
165,7.319807754370402
166,2.2811305149338423
167,2.191951413430587
168,2.276178591334812
169,2.474920192110659
170,2.5653194500784906
171,2.690714382065373
172,2.7368298234671116
173,2.7285753587607715
174,2.66806307801302
175,2.670224351304533
176,2.6528206295041628
177,2.9071758864890427
178,2.7662088285857465
179,2.7728983822258613
180,3.823818080170504
181,3.870889605832886
182,4.273412936219657
183,3.53894748251232
184,2.8052978821136065
185,3.1031323841708343
186,3.27438183174214
187,3.296028031621127
188,3.2058022444749383
189,3.0365210697483036
190,3.0625619156534327
191,3.1400880372751914
192,3.0919570996031567
193,3.5225170977475244
194,3.8192765181803026
195,3.5457747517569587
196,4.115994854533639
197,5.334881648849546
198,5.64479066860774
199,5.451892850962693
200,5.439155234413398
201,5.619809710547862
202,5.351249560824762
203,5.736049369830809
204,5.574206101781883
205,4.429666025685435
206,4.6007936445004844
207,6.968267827294497
208,7.503278152762633
209,6.544061927887192
210,6.995349654264508
211,5.931974228442542
212,5.986596120566098
213,6.725428232138569
214,6.527364178105088
215,6.862420099017314
216,7.055530407442575
217,7.040252888803003
218,6.78706778037612
219,7.276806803291919
220,6.9652175457166905
221,6.637457357600326
222,6.611191647850291
223,7.16494355994903
224,7.2531031009238305
225,7.321848591285203
226,7.32376948283067
227,7.5217980723393225
228,5.74801026197872
229,6.341384862876495
230,8.808067097262125
231,8.881105499916224
232,7.013679954593805
233,6.612067413213282
234,6.778093640212887
235,6.662561549695631
236,7.581623106612149
237,6.373565363075322
238,5.14511350975291
239,10.926636605433167
240,6.12167501470806
241,6.62388075294988
242,10.672402485238116
243,8.350582898436656
244,7.987876034919729
245,8.975336147723823
246,7.475787656547283
247,13.76389623194126
248,14.392224802499818
249,15.737911967203758
250,9.338846929763896
251,9.998010934885748
252,8.277529482306768
253,10.856386912649171
254,9.355399932423204
255,9.168544702819027
256,9.16815499199604
257,4.847788093795344
258,8.414935255526416
259,8.448878500243694
260,8.95747105558602
261,11.48065577252811
262,5.005558301618578
263,3.450121463285768
264,2.8757606925614922
265,6.40153641805847
266,4.861058821952454
267,4.930027035984253
268,4.825703959776298
269,3.5890314435346937
270,4.5727705811579895
271,3.9870641914832277
272,3.962946119232683
273,3.9455754502678175
274,3.8090345131225405
275,4.212672100792076
276,3.3372121867527227
277,3.5186479777556343
278,3.8327099771659334
279,4.247459934414785
280,4.393296842710342
281,3.620475578735828
282,3.652445669041626
283,4.342556752007582
284,4.645229632271288
285,4.887107259709609
286,4.709429851591473
287,4.326732366716165
288,4.307470402973266
289,3.7486915354650208
290,4.07158010475537
291,4.232926689685094
292,3.785788347614144
293,3.2418054985588682
294,3.543869828807651
295,3.520855567283796
296,3.2685325535659757
297,3.421714200569774
298,3.190360751107825
299,3.036501695817158
300,3.0550763211540257
