epoch,accuracy
1,0.5373333333333333
2,0.5286666666666666
3,0.5416666666666666
4,0.55
5,0.601
6,0.5506666666666666
7,0.54
8,0.585
9,0.538
10,0.528
11,0.5696666666666667
12,0.5183333333333333
13,0.537
14,0.5953333333333334
15,0.595
16,0.529
17,0.5723333333333334
18,0.6033333333333334
19,0.5763333333333334
20,0.5986666666666667
21,0.669
22,0.6693333333333333
23,0.6323333333333333
24,0.6626666666666666
25,0.6616666666666666
26,0.6606666666666666
27,0.6623333333333333
28,0.633
29,0.6663333333333333
30,0.6136666666666667
31,0.622
32,0.613
33,0.6396666666666667
34,0.6576666666666666
35,0.9123333333333333
36,0.98
37,0.9493333333333334
38,0.994
39,0.9996666666666667
40,0.9613333333333334
41,0.9916666666666667
42,0.9976666666666667
43,0.998
44,0.9986666666666667
45,0.9703333333333334
46,0.9996666666666667
47,0.8163333333333334
48,0.997
49,1.0
50,1.0
51,0.999
52,0.9973333333333333
53,1.0
54,0.9713333333333334
55,0.5453333333333333
56,0.741
57,0.7606666666666667
58,0.7606666666666667
59,0.757
60,0.7716666666666666
61,0.759
62,0.7536666666666667
63,0.503
64,0.53
65,0.5173333333333333
66,0.5336666666666666
67,0.5486666666666666
68,0.533
69,0.5353333333333333
70,0.564
71,0.5653333333333334
72,0.5586666666666666
73,0.5973333333333334
74,0.7623333333333333
75,0.767
76,0.804
77,0.596
78,0.7736666666666666
79,0.666
80,0.5383333333333333
81,0.5846666666666667
82,0.7606666666666667
83,0.759
84,0.758
85,0.758
86,0.7573333333333333
87,0.7576666666666667
88,0.524
89,0.534
90,0.5973333333333334
91,0.7686666666666667
92,0.6076666666666667
93,0.7606666666666667
94,0.7606666666666667
95,0.5603333333333333
96,0.624
97,0.7953333333333333
98,0.7973333333333333
99,0.735
100,0.778
101,0.8276666666666667
102,0.499
103,0.504
104,0.5146666666666667
105,0.51
106,0.517
107,0.5313333333333333
108,0.53
109,0.7373333333333333
110,0.7393333333333333
111,0.7403333333333333
112,0.7406666666666667
113,0.7396666666666667
114,0.74
115,0.7403333333333333
116,0.759
117,0.756
118,0.757
119,0.7533333333333333
120,0.7593333333333333
121,0.757
122,0.7593333333333333
123,0.7593333333333333
124,0.7596666666666667
125,0.7566666666666667
126,0.7406666666666667
127,0.6276666666666667
128,0.84
129,0.498
130,0.49733333333333335
131,0.49566666666666664
132,0.5166666666666667
133,0.517
134,0.528
135,0.534
136,0.521
137,0.527
138,0.5313333333333333
139,0.524
140,0.526
141,0.5393333333333333
142,0.5226666666666666
143,0.5186666666666667
144,0.5353333333333333
145,0.547
146,0.5353333333333333
147,0.5313333333333333
148,0.533
149,0.5276666666666666
150,0.546
151,0.541
152,0.542
153,0.5186666666666667
154,0.564
155,0.5376666666666666
156,0.5416666666666666
157,0.531
158,0.5996666666666667
159,0.6906666666666667
160,0.7403333333333333
161,0.74
162,0.7403333333333333
163,0.7406666666666667
164,0.7366666666666667
165,0.7486666666666667
166,0.515
167,0.521
168,0.506
169,0.519
170,0.5193333333333333
171,0.532
172,0.5446666666666666
173,0.5086666666666667
174,0.5423333333333333
175,0.6373333333333333
176,0.5766666666666667
177,0.6593333333333333
178,0.6523333333333333
179,0.6316666666666667
180,0.678
181,0.685
182,0.8113333333333334
183,0.7366666666666667
184,0.508
185,0.5046666666666667
186,0.5166666666666667
187,0.514
188,0.516
189,0.5033333333333333
190,0.5373333333333333
191,0.515
192,0.519
193,0.511
194,0.7246666666666667
195,0.7783333333333333
196,0.9816666666666667
197,0.5936666666666667
198,0.697
199,0.7023333333333334
200,0.7176666666666667
201,0.7086666666666667
202,0.722
203,0.6786666666666666
204,0.727
205,0.8313333333333334
206,0.8583333333333333
207,0.7516666666666667
208,0.7623333333333333
209,0.7773333333333333
210,0.7886666666666666
211,0.5176666666666667
212,0.507
213,0.509
214,0.516
215,0.51
216,0.497
217,0.509
218,0.5256666666666666
219,0.516
220,0.51
221,0.524
222,0.5106666666666667
223,0.533
224,0.514
225,0.5213333333333333
226,0.5026666666666667
227,0.5596666666666666
228,0.6926666666666667
229,0.74
230,0.74
231,0.7393333333333333
232,0.7403333333333333
233,0.743
234,0.7586666666666667
235,0.759
236,0.7563333333333333
237,0.7573333333333333
238,0.74
239,0.7566666666666667
240,0.7663333333333333
241,0.7776666666666666
242,0.7573333333333333
243,0.7573333333333333
244,0.7693333333333333
245,0.7606666666666667
246,0.7396666666666667
247,0.7593333333333333
248,0.7566666666666667
249,0.759
250,0.767
251,0.7396666666666667
252,0.7403333333333333
253,0.7583333333333333
254,0.7553333333333333
255,0.7726666666666666
256,0.761
257,0.7423333333333333
258,0.7586666666666667
259,0.7586666666666667
260,0.7593333333333333
261,0.7433333333333333
262,0.7506666666666667
263,0.748
264,0.7866666666666666
265,0.755
266,0.5616666666666666
267,0.6093333333333333
268,0.6846666666666666
269,0.586
270,0.527
271,0.516
272,0.6276666666666667
273,0.7393333333333333
274,0.7683333333333333
275,0.7883333333333333
276,0.6143333333333333
277,0.708
278,0.7636666666666667
279,0.7503333333333333
280,0.7596666666666667
281,0.857
282,0.9383333333333334
283,0.6463333333333333
284,0.667
285,0.794
286,0.8683333333333333
287,0.926
288,0.654
289,0.8143333333333334
290,0.873
291,0.864
292,0.953
293,0.917
294,0.9616666666666667
295,0.9773333333333334
296,0.957
297,0.9676666666666667
298,0.8573333333333333
299,0.9746666666666667
300,0.9713333333333334
