Epoch,Accuracy,Phi_IIT,Phi_Star_Barrett,Phi_Star_Decoder,Phi_Approx
1,0.2549999952316284,0.029016,0.016144365893509892,3.113706160006183,0.006510294525456939
2,0.7425000071525574,0.032011,0.014300936817861362,3.236369369480522,0.005477953704936655
3,0.2549999952316284,0.019529,0.012218280366511014,2.9278379399214733,0.007701313364492479
4,0.7425000071525574,0.024314,0.013199108454135265,2.065612974743381,0.007010197943933925
5,0.7425000071525574,0.021957,0.011344151641358706,1.268577995293994,0.006433560420973163
6,0.7425000071525574,0.014127,0.009114965986800833,1.501037961808417,0.012073094064594595
7,1.0,0.01179,0.009211799676493132,1.5364570995220157,0.01624014358322651
8,1.0,0.016294,0.00955324573569688,1.1151531399897296,0.014541311143952402
9,1.0,0.007635,0.007747737274273258,0.9208527175944721,0.01465670240183832
10,1.0,0.010419,0.008045163407718195,0.9019616408671685,0.026477211318625734
