epoch,accuracy,shap_X,shap_Y,shap_A,shap_B,shap_EOS,shap_total
1,0.47333333333333333,3.053500879743835e-11,2.995179025273493e-11,9.085937475596363e-09,3.965013351496018e-06,6.141867465731329e-06,1.0116027241501993e-05
2,0.4766666666666667,1.0899536361426896e-11,2.2151593539403923e-11,8.113862379545268e-09,2.139198550230017e-05,1.4779870654424506e-05,3.618000307023412e-05
3,0.4583333333333333,3.850783892784732e-11,6.241283915407069e-11,1.8376469524919955e-08,4.9135311842354405e-05,2.4290331566211684e-05,7.34441207987691e-05
4,0.4766666666666667,1.845577686304461e-11,8.009569941345326e-11,7.610347019443506e-10,3.811736445572948e-05,2.5142769144964997e-05,6.32609931868727e-05
5,0.4583333333333333,1.2233829500880917e-11,1.014353461555091e-10,6.456560753688703e-09,5.317301787130114e-05,2.9236039764840983e-05,8.241562786607146e-05
6,0.4766666666666667,2.029231482487599e-11,4.1301679911511626e-11,3.356762986831779e-10,3.4457612970260743e-05,2.2878120613555815e-05,5.733613085410997e-05
7,0.4766666666666667,2.395308706937271e-11,2.1768652757824333e-11,1.5771522200323955e-09,4.381273423127725e-05,2.745778833669526e-05,7.127214544193237e-05
8,0.4766666666666667,2.5046439057537006e-11,6.913557238142828e-12,1.5198577892688654e-09,3.970902210081584e-05,2.4986847588302303e-05,6.469742150690372e-05
9,0.4766666666666667,1.0855668969095081e-10,2.4752106027109215e-11,3.6050491794127437e-09,4.6644155226777324e-05,2.7423884734015038e-05,7.40717783187675e-05
10,0.4766666666666667,1.674512455445225e-10,3.039295630704022e-11,6.424656807997642e-10,5.795879060566953e-05,3.0358073822626336e-05,8.831770473817851e-05
11,0.48833333333333334,4.684992991003895e-10,2.685853198571676e-10,9.481751882686222e-09,7.902260052315108e-05,4.659336220832357e-05,0.0001256261815679763
12,0.4766666666666667,1.8762855730008822e-10,9.277694449319988e-11,2.7113880556255907e-09,5.21766538619691e-05,5.715386667400087e-05,0.00010933351232952739
13,0.48833333333333334,7.541246892382879e-10,5.133572109134517e-10,4.4639911239683136e-08,7.186826874702089e-05,8.152988763297234e-05,0.00015344406377313307
14,0.4816666666666667,1.0719502244861524e-09,3.1720725118605596e-10,9.15545856342611e-08,0.00012816018630962587,0.00013953316964848418,0.00026778629970122
15,0.46,1.1117317264618637e-05,2.780352071714007e-06,0.0014830565911714629,0.002897363961287722,0.0011198325285132788,0.005514150750308796
16,0.5633333333333334,5.986254648138145e-06,2.837266536875923e-06,0.0007034524579817768,0.00423794707590207,0.0018870254839516542,0.0068372485390205155
17,0.4866666666666667,4.41028721613869e-09,2.391911708300605e-09,2.9325184018971793e-08,0.0001761878904697918,0.0002890232689057973,0.0004652472867585325
18,0.4866666666666667,6.4945744443677376e-09,3.6103114938070416e-09,4.371782058626069e-08,0.00019438370433704332,0.00031967759336051175,0.0005141151204040795
19,0.5966666666666667,9.393681543804021e-06,6.294053160065131e-06,0.00019253554351418605,0.0031754951378274517,0.0025151111190703235,0.0058988295351158305
20,0.545,4.759170186810429e-06,1.6403273234719112e-06,0.0003212156429434713,0.00328013895616581,0.0012782770472285587,0.004886031143848122
21,0.5016666666666667,2.34580363495089e-06,1.5620806680681487e-06,8.323580798882875e-06,0.001537727470802386,0.0011155923644911331,0.002665551300395421
22,0.5083333333333333,5.497800866293148e-07,3.658417508787917e-07,2.7630865009575466e-06,0.0007064030796666352,0.0006800569993615397,0.0013901387873666406
23,0.5333333333333333,7.841212887578206e-05,1.975956071036669e-05,0.0014041025622182895,0.005962448123747313,0.004632855170296457,0.012097577545848209
24,0.5933333333333334,1.5437694767848096e-05,2.6622155393091084e-06,0.0005747754046577477,0.0042333587742493205,0.0019215728713099923,0.006747806960524218
25,0.5766666666666667,2.2988435672568098e-05,6.386519452965549e-06,0.0003485507991012638,0.005374122813874554,0.002786052841094768,0.008538101409196119
26,0.5483333333333333,2.3702371197447082e-05,6.676395625777252e-06,0.0004579858275805097,0.005379599451082687,0.0019268580478779675,0.007794822093364389
27,0.505,3.3010387106598288e-06,1.3127296429996722e-06,4.9243611351051715e-05,0.0029411298574150506,0.0013078239632269026,0.004302811200346665
28,0.5533333333333333,2.0095286951481565e-05,8.46970607020915e-06,0.0003980929677911818,0.006720775116953721,0.002357528769062959,0.009504961846829552
29,0.615,6.31828237234694e-05,2.9388180634795293e-05,0.0007199278393725057,0.00964147978431587,0.004815935071930775,0.015269913699977416
30,0.6583333333333333,0.00017915173390095634,2.1369469162697934e-05,0.0012299561431226387,0.013175236754994204,0.007328540448578902,0.021934254549759398
31,0.5016666666666667,3.7538543351022536e-07,7.621848626701876e-08,3.0917979332513407e-06,0.0003084715068001188,0.0003561180907747173,0.0006681329994278646
32,0.4866666666666667,1.0880843135061094e-07,2.476306707587332e-08,1.381483671428598e-06,0.00018589969070605564,0.00029767081384263916,0.0004850855597185499
33,0.49166666666666664,1.9674810511317375e-06,4.7483031676617715e-07,4.4459016494449885e-05,0.002630792509223543,0.0011635682770207586,0.0038412621141066493
34,0.505,5.923611712582012e-07,1.2587763465418166e-07,1.0515585832836775e-05,0.000793843901392556,0.000523553211499065,0.00132863093753037
35,0.5133333333333333,2.7687288396509427e-06,5.069646488581285e-07,4.163710909944407e-05,0.0022254576226320467,0.001001142684441861,0.0032715131096618605
