epoch,accuracy,phi
1,0.5006666666666667,0.0
2,0.49933333333333335,0.0
3,0.49933333333333335,0.0
4,0.49933333333333335,0.1602863545386839
5,0.5006666666666667,0.0
6,0.49366666666666664,0.04888330206341962
7,0.499,0.0
8,0.49966666666666665,0.0796044754991101
9,0.5006666666666667,0.06160161233364647
10,0.5006666666666667,0.0
11,0.5073333333333333,0.02722008177034496
12,0.5026666666666667,0.0
13,0.512,0.0
14,0.49866666666666665,0.0
15,0.5023333333333333,0.0
16,0.49733333333333335,0.0
17,0.5056666666666667,0.0
18,0.506,0.0
19,0.5136666666666667,0.06966891139706632
20,0.5203333333333333,0.11381518322627215
21,0.501,0.20052071926919268
22,0.5096666666666667,0.051354361372709434
23,0.528,1.2715613108894956
24,0.5543333333333333,5.184833057664449
25,0.508,2.367902224517941
26,0.548,7.133826411195493
27,0.49566666666666664,9.287785877384088
28,0.5756666666666667,6.216585192414939
29,0.5426666666666666,4.96259726049842
30,0.5923333333333334,11.34918423446041
31,0.5793333333333334,8.71872018340811
32,0.6036666666666667,7.110865639248573
33,0.5863333333333334,5.318200545028311
34,0.609,7.599929305422599
35,0.6093333333333333,8.491471294446065
36,0.6646666666666666,7.821035693313696
37,0.5006666666666667,2.0095722652313555
38,0.5243333333333333,5.756328986934719
39,0.529,5.630816703727419
40,0.5416666666666666,3.920992174254053
41,0.5876666666666667,15.342591444137518
42,0.545,4.174444474161568
43,0.5473333333333333,6.124285482410528
44,0.58,7.0587449678979866
45,0.5776666666666667,3.7458147558664763
46,0.5906666666666667,3.3816589294122323
47,0.6296666666666667,4.290376632431759
48,0.554,4.775081713437174
49,0.5903333333333334,11.632527632259396
50,0.5663333333333334,8.835780912789943
51,0.5583333333333333,8.742704525521361
52,0.5916666666666667,9.20962758461539
53,0.593,6.957516310795768
54,0.594,6.5512642850597445
55,0.5853333333333334,7.158891146674584
56,0.579,9.118080074180789
57,0.5876666666666667,8.407442249268271
58,0.616,11.68952906843812
59,0.5203333333333333,2.485033457353083
60,0.6216666666666667,3.7524787194783897
61,0.5423333333333333,5.737630637439693
62,0.527,4.580141293589122
63,0.5173333333333333,7.077309720773485
64,0.586,8.999677278584969
65,0.6986666666666667,9.411450257882656
66,0.508,10.002278577423859
67,0.5636666666666666,11.53560018975999
68,0.5373333333333333,9.773699296652865
69,0.5673333333333334,11.092157452787163
70,0.5363333333333333,9.421714191591207
71,0.5526666666666666,9.600108185691482
72,0.5563333333333333,10.082833032622865
73,0.5563333333333333,11.294552962348483
74,0.557,10.167579527971839
75,0.5496666666666666,9.564683911396791
76,0.5763333333333334,10.550639636083325
77,0.5713333333333334,10.271508529006411
78,0.5786666666666667,9.979643680300782
79,0.5813333333333334,10.398359003374914
80,0.5833333333333334,7.607844225499029
81,0.584,10.176528314377968
82,0.5643333333333334,9.060391418162212
83,0.573,9.490731310566602
84,0.584,9.37700735963773
85,0.6066666666666667,9.011019550336783
86,0.6043333333333333,7.878676099082675
87,0.582,7.302883682146266
88,0.6116666666666667,6.505634406026026
89,0.614,4.934024542872052
90,0.579,6.165270672722798
91,0.6096666666666667,6.330691445427462
92,0.6823333333333333,4.4356854575830695
93,0.492,4.77393806637302
94,0.5596666666666666,5.6072841206274475
95,0.594,5.579513980021318
96,0.5156666666666667,6.838670388082349
97,0.5606666666666666,6.452812899164826
98,0.531,6.310977254199251
99,0.564,5.189973623494026
100,0.6096666666666667,6.5200547739057555
101,0.624,6.517287683820136
102,0.6243333333333333,5.583904750190868
103,0.49433333333333335,7.104934778348699
104,0.561,6.391141639198281
105,0.5896666666666667,6.716558614425949
106,0.5703333333333334,5.216397544545622
107,0.591,6.335529577292505
108,0.6383333333333333,4.826372227583441
109,0.65,6.5358675978279805
110,0.7663333333333333,14.646749056171927
111,0.811,10.066210434552886
112,0.6126666666666667,5.06811186295181
113,0.589,10.62503238357008
114,0.5706666666666667,7.029988195059701
115,0.5206666666666667,6.5088204374581835
116,0.5366666666666666,6.706875291349824
