accuracy,phi
0.49133333333333334,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.5096666666666667,0.0
0.508,0.0
0.508,0.0
0.5033333333333333,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.501,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.0
0.508,0.06713016769874969
0.49266666666666664,0.12043779293070855
0.508,0.13018811909816463
0.508,0.09339255429274829
0.508,0.11162951544213229
0.508,0.10036585714633617
0.508,0.0727106479078401
0.508,0.10901256573004758
0.508,0.17766665632915135
0.508,0.26840895693169387
0.508,0.21408149573801438
0.508,0.1765583939213613
0.508,0.1317801381794652
0.508,0.1264186035301762
0.508,0.051104233890043815
0.508,0.021353371026819445
0.508,0.07727217966754552
0.508,0.0005154147123747066
0.508,0.038428143587665886
0.502,0.06408508329992202
0.508,0.2560650471160315
0.508,0.2421226696765686
0.504,0.4440601327203737
0.49833333333333335,0.6208984334466621
0.511,0.5053610614760871
0.51,0.4640407737511367
0.529,0.7439303595478108
0.513,0.3080560437114741
0.497,1.135497583307341
0.5086666666666667,1.7729907636327482
0.5236666666666666,1.8625102296539495
0.5026666666666667,1.9200639618748099
0.521,1.9639539509480102
0.522,2.0179478759501492
0.5176666666666667,2.0398240988635905
0.5093333333333333,1.7681514742597173
0.5116666666666667,1.5169036440073569
0.5116666666666667,1.5486303607985334
0.5173333333333333,1.8809268253800084
0.462,6.450483742583401
0.5333333333333333,1.696767136464942
0.513,1.8830128179023617
0.51,2.131229089792633
0.5096666666666667,2.531458599592824
0.48966666666666664,2.5473402818808992
0.528,3.701239607077433
0.5376666666666666,3.68243034462661
0.511,4.469228017203228
0.514,5.926156762996428
0.5543333333333333,4.6530155708255805
0.5,4.951390844623134
0.48533333333333334,5.498911855275857
0.602,4.898732018355915
0.526,5.157186276687327
0.6483333333333333,4.7034483842777774
0.6906666666666667,4.878900540755609
0.6766666666666666,5.133902792326552
0.727,4.626404561454471
0.739,4.764480655359499
0.639,4.921053861434181
0.671,4.859740507434495
0.709,4.68348463944384
0.75,4.151616242325964
0.7086666666666667,4.154767534740024
0.7243333333333334,3.8841824205754563
0.7853333333333333,3.703742681272651
0.7783333333333333,3.297591431002651
0.7533333333333333,3.0978116814874426
0.8773333333333333,2.4842906007545977
0.8746666666666667,2.765727845562459
0.7423333333333333,2.6539824253820044
0.5373333333333333,3.819639323747431
0.6406666666666667,3.4190013122909164
0.7166666666666667,3.2648601257206735
0.7116666666666667,3.2338272040467544
0.656,3.234306745138234
0.72,3.7269725168603003
0.8193333333333334,3.3104429823133614
0.7353333333333333,3.8079316587487284
0.872,3.447165156798931
0.5673333333333334,3.5123928648274685
0.667,3.7831822521389995
0.74,3.406735045118708
0.7873333333333333,2.6808697021739434
0.814,2.4843016318720714
0.8566666666666667,2.581973395095936
0.8876666666666667,2.6220253288380064
0.7816666666666666,2.4495833082313823
0.8306666666666667,2.7409102317451897
0.928,2.1989549182756605
0.9333333333333333,2.411202684061699
0.9713333333333334,2.192935986332664
0.9736666666666667,2.399764942899928
0.9696666666666667,2.1628658792771276
0.9813333333333333,2.870856924923636
0.985,2.2580885634670977
0.9806666666666667,2.158286044521013
0.985,2.3884840913306817
0.977,1.800420091817145
0.991,2.0356860446124045
0.992,3.0872312594773774
0.9886666666666667,2.51682796543799
0.9803333333333333,2.649911732787011
0.9883333333333333,2.5887975758604895
0.9823333333333333,2.5108163784798734
0.9856666666666667,2.300798300894357
0.989,2.49661191186496
0.9946666666666667,2.4206502667393863
0.988,2.7782548105118323
0.987,2.063540919547698
0.9863333333333333,2.400753892733846
0.9963333333333333,2.1764837926035767
0.9933333333333333,2.221109933964044
0.996,1.8818856589942712
0.9913333333333333,2.3877817424764984
0.9896666666666667,1.911220951255963
0.9956666666666667,2.2470352651460246
0.9933333333333333,2.1163992786433994
0.9943333333333333,2.372895804623411
0.9946666666666667,2.3003114888908556
0.994,2.092232603774434
0.513,3.6249121751768882
0.5513333333333333,4.270549537202527
0.5566666666666666,5.221521492128531
0.6536666666666666,4.762202115063985
0.6786666666666666,5.005879506663916
0.7503333333333333,4.370189439418311
0.8426666666666667,3.5608148008695366
0.8693333333333333,3.7918804741870247
0.8753333333333333,4.2995514126275864
0.911,3.6735613943132464
0.934,4.236991575848876
0.9236666666666666,3.8186562431996762
0.9256666666666666,3.553789473453186
0.9616666666666667,3.8616220404442956
0.97,3.844317892541021
0.9856666666666667,3.549801032029521
0.9766666666666667,3.7786360547150792
0.9896666666666667,3.747825330711322
0.989,3.483678321627231
0.9923333333333333,3.544846917996672
0.98,3.9469441365482894
0.989,3.3814374893211365
0.991,3.6141146285064423
0.9906666666666667,3.441878596993554
0.9873333333333333,4.0958190308625575
0.809,4.078898703918846
0.5846666666666667,4.331822153172006
0.783,4.075370194117639
0.879,3.201117243473952
0.7266666666666667,3.4561236250603784
0.8686666666666667,3.599010764370277
0.9136666666666666,3.0097880766797616
0.9353333333333333,2.980832535990004
0.7126666666666667,3.121566544451653
0.7596666666666667,3.168179625242992
0.7736666666666666,2.912114618688399
0.7813333333333333,2.8269034061105174
0.8023333333333333,2.86119488185512
0.743,2.5036154397935917
0.5643333333333334,2.7900567119434
0.7776666666666666,3.6100956603470493
0.8633333333333333,3.533327874986007
0.8923333333333333,2.970543676799039
0.5836666666666667,2.4304160367431606
0.555,3.0602527541259406
0.5726666666666667,2.944625085902331
0.6096666666666667,3.5669768516978664
0.6286666666666667,3.574416161607857
0.663,2.992091317654129
0.687,3.066578200858288
0.728,2.9152056502828856
0.7596666666666667,2.3555936936971733
0.7833333333333333,2.4554592922792438
0.7543333333333333,2.820571676379437
0.805,2.3883113379623637
0.8143333333333334,2.569231352425909
0.806,2.7335580438971476
0.8246666666666667,2.9783394031056503
0.857,2.395896756828151
0.8553333333333333,2.3934883141962544
0.8426666666666667,3.228718070304353
0.8563333333333333,3.0518842061943445
0.8923333333333333,2.9564012555009356
0.8953333333333333,2.9669179566573476
0.875,3.197671664264753
0.9146666666666666,2.917561672779968
0.9156666666666666,2.421019686455729
0.9293333333333333,2.205766603515606
0.9213333333333333,3.2653831702955287
0.932,2.432562816832963
0.9166666666666666,3.047155147308324
0.926,2.401080686877222
0.9196666666666666,2.4852549799194676
0.9396666666666667,2.0212848913009793
0.9416666666666667,2.033874383877894
0.935,2.661057393191655
0.952,2.322080267134467
0.9523333333333334,2.705428980120196
0.9543333333333334,2.1894676768658314
0.96,2.3942811537220763
0.965,2.1195800855097815
0.959,2.6048291288956023
0.9753333333333334,2.003259400118516
0.9836666666666667,2.0911972723498167
0.67,1.975908717602401
0.6546666666666666,2.890269797338206
0.796,2.3172647229078436
0.823,2.880142496169121
0.8443333333333334,3.0471165655655525
0.855,2.9224604066117763
0.842,2.9241530017934636
0.8626666666666667,2.6694350462913405
0.8733333333333333,2.8481621853856467
0.868,2.1844314617112204
0.8643333333333333,2.433994578634234
0.8856666666666667,2.231146894054021
0.88,2.772712420238001
0.882,2.745665257726664
0.883,2.276365913991256
0.9013333333333333,2.11963228184441
0.866,2.362439793024926
0.8533333333333334,1.9050619479397568
0.869,3.5295280647601004
0.8803333333333333,2.2447478640370164
0.882,2.772954791870454
0.9116666666666666,2.592108790226817
0.896,2.7096187829549834
0.9023333333333333,4.587828008520532
0.7156666666666667,2.4494431488722057
0.9133333333333333,3.163247399552418
0.9596666666666667,2.4515870819951715
0.9903333333333333,1.2860709865355489
0.989,2.4894022293268847
0.8086666666666666,1.3817055960170563
0.9963333333333333,1.2123429513119106
0.995,1.2951803361943064
0.9973333333333333,1.886505941212576
0.9976666666666667,1.7558812583134085
0.9996666666666667,1.8216903153179658
0.9963333333333333,1.7871880061232872
0.9963333333333333,1.9050022883668873
0.9996666666666667,2.1604227770267244
0.9986666666666667,1.9975874790648902
0.999,1.9944653034840343
0.9953333333333333,1.8944975030390623
0.9976666666666667,1.9910086670162315
1.0,1.7505818810573288
0.9993333333333333,2.2160496775059215
1.0,2.267891269159591
0.999,1.862033387278899
1.0,1.9187230397953385
1.0,2.274391026932591
0.9983333333333333,2.344359575698533
0.998,1.9995357670451739
1.0,2.1810090555194677
0.9973333333333333,2.5094940583977774
1.0,3.3771516006820548
1.0,2.865896361476814
1.0,3.323915263851518
1.0,2.729104066121721
1.0,2.7048794675095564
1.0,3.0048988288546497
0.9993333333333333,2.507760536051677
1.0,2.3519854532853373
0.955,2.205627302883613
0.9756666666666667,2.0706089838921002
0.9996666666666667,1.9733178227879478
1.0,1.947611533257188
0.9993333333333333,1.8785483086603705
