epoch,phi
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.06713016769874969
26,0.12043779293070855
27,0.13018811909816463
28,0.09339255429274829
29,0.11162951544213229
30,0.10036585714633617
31,0.0727106479078401
32,0.10901256573004758
33,0.17766665632915135
34,0.26840895693169387
35,0.21408149573801438
36,0.1765583939213613
37,0.1317801381794652
38,0.1264186035301762
39,0.051104233890043815
40,0.021353371026819445
41,0.07727217966754552
42,0.0005154147123747066
43,0.038428143587665886
44,0.06408508329992202
45,0.2560650471160315
46,0.2421226696765686
47,0.4440601327203737
48,0.6208984334466621
49,0.5053610614760871
50,0.4640407737511367
51,0.7439303595478108
52,0.3080560437114741
53,1.135497583307341
54,1.7729907636327482
55,1.8625102296539495
56,1.9200639618748099
57,1.9639539509480102
58,2.0179478759501492
59,2.0398240988635905
60,1.7681514742597173
61,1.5169036440073569
62,1.5486303607985334
63,1.8809268253800084
64,6.450483742583401
65,1.696767136464942
66,1.8830128179023617
67,2.131229089792633
68,2.531458599592824
69,2.5473402818808992
70,3.701239607077433
71,3.68243034462661
72,4.469228017203228
73,5.926156762996428
74,4.6530155708255805
75,4.951390844623134
76,5.498911855275857
77,4.898732018355915
78,5.157186276687327
79,4.7034483842777774
80,4.878900540755609
81,5.133902792326552
82,4.626404561454471
83,4.764480655359499
84,4.921053861434181
85,4.859740507434495
86,4.68348463944384
87,4.151616242325964
88,4.154767534740024
89,3.8841824205754563
90,3.703742681272651
91,3.297591431002651
92,3.0978116814874426
93,2.4842906007545977
94,2.765727845562459
95,2.6539824253820044
96,3.819639323747431
97,3.4190013122909164
98,3.2648601257206735
99,3.2338272040467544
100,3.234306745138234
101,3.7269725168603003
102,3.3104429823133614
103,3.8079316587487284
104,3.447165156798931
105,3.5123928648274685
106,3.7831822521389995
107,3.406735045118708
108,2.6808697021739434
109,2.4843016318720714
110,2.581973395095936
111,2.6220253288380064
112,2.4495833082313823
113,2.7409102317451897
114,2.1989549182756605
115,2.411202684061699
116,2.192935986332664
117,2.399764942899928
118,2.1628658792771276
119,2.870856924923636
120,2.2580885634670977
121,2.158286044521013
122,2.3884840913306817
123,1.800420091817145
124,2.0356860446124045
125,3.0872312594773774
126,2.51682796543799
127,2.649911732787011
128,2.5887975758604895
129,2.5108163784798734
130,2.300798300894357
131,2.49661191186496
132,2.4206502667393863
133,2.7782548105118323
134,2.063540919547698
135,2.400753892733846
136,2.1764837926035767
137,2.221109933964044
138,1.8818856589942712
139,2.3877817424764984
140,1.911220951255963
141,2.2470352651460246
142,2.1163992786433994
143,2.372895804623411
144,2.3003114888908556
145,2.092232603774434
146,3.6249121751768882
147,4.270549537202527
148,5.221521492128531
149,4.762202115063985
150,5.005879506663916
