epoch,accuracy
1,0.49133333333333334
2,0.508
3,0.508
4,0.508
5,0.508
6,0.508
7,0.508
8,0.5096666666666667
9,0.508
10,0.508
11,0.5033333333333333
12,0.508
13,0.508
14,0.508
15,0.508
16,0.508
17,0.508
18,0.508
19,0.508
20,0.501
21,0.508
22,0.508
23,0.508
24,0.508
25,0.508
26,0.49266666666666664
27,0.508
28,0.508
29,0.508
30,0.508
31,0.508
32,0.508
33,0.508
34,0.508
35,0.508
36,0.508
37,0.508
38,0.508
39,0.508
40,0.508
41,0.508
42,0.508
43,0.508
44,0.502
45,0.508
46,0.508
47,0.504
48,0.49833333333333335
49,0.511
50,0.51
51,0.529
52,0.513
53,0.497
54,0.5086666666666667
55,0.5236666666666666
56,0.5026666666666667
57,0.521
58,0.522
59,0.5176666666666667
60,0.5093333333333333
61,0.5116666666666667
62,0.5116666666666667
63,0.5173333333333333
64,0.462
65,0.5333333333333333
66,0.513
67,0.51
68,0.5096666666666667
69,0.48966666666666664
70,0.528
71,0.5376666666666666
72,0.511
73,0.514
74,0.5543333333333333
75,0.5
76,0.48533333333333334
77,0.602
78,0.526
79,0.6483333333333333
80,0.6906666666666667
81,0.6766666666666666
82,0.727
83,0.739
84,0.639
85,0.671
86,0.709
87,0.75
88,0.7086666666666667
89,0.7243333333333334
90,0.7853333333333333
91,0.7783333333333333
92,0.7533333333333333
93,0.8773333333333333
94,0.8746666666666667
95,0.7423333333333333
96,0.5373333333333333
97,0.6406666666666667
98,0.7166666666666667
99,0.7116666666666667
100,0.656
101,0.72
102,0.8193333333333334
103,0.7353333333333333
104,0.872
105,0.5673333333333334
106,0.667
107,0.74
108,0.7873333333333333
109,0.814
110,0.8566666666666667
111,0.8876666666666667
112,0.7816666666666666
113,0.8306666666666667
114,0.928
115,0.9333333333333333
116,0.9713333333333334
117,0.9736666666666667
118,0.9696666666666667
119,0.9813333333333333
120,0.985
121,0.9806666666666667
122,0.985
123,0.977
124,0.991
125,0.992
126,0.9886666666666667
127,0.9803333333333333
128,0.9883333333333333
129,0.9823333333333333
130,0.9856666666666667
131,0.989
132,0.9946666666666667
133,0.988
134,0.987
135,0.9863333333333333
136,0.9963333333333333
137,0.9933333333333333
138,0.996
139,0.9913333333333333
140,0.9896666666666667
141,0.9956666666666667
142,0.9933333333333333
143,0.9943333333333333
144,0.9946666666666667
145,0.994
146,0.513
147,0.5513333333333333
148,0.5566666666666666
149,0.6536666666666666
150,0.6786666666666666
151,0.7503333333333333
152,0.8426666666666667
153,0.8693333333333333
154,0.8753333333333333
155,0.911
156,0.934
157,0.9236666666666666
158,0.9256666666666666
159,0.9616666666666667
160,0.97
161,0.9856666666666667
162,0.9766666666666667
163,0.9896666666666667
164,0.989
165,0.9923333333333333
166,0.98
167,0.989
168,0.991
169,0.9906666666666667
170,0.9873333333333333
171,0.809
172,0.5846666666666667
173,0.783
174,0.879
175,0.7266666666666667
176,0.8686666666666667
177,0.9136666666666666
178,0.9353333333333333
179,0.7126666666666667
180,0.7596666666666667
181,0.7736666666666666
182,0.7813333333333333
183,0.8023333333333333
184,0.743
185,0.5643333333333334
186,0.7776666666666666
187,0.8633333333333333
188,0.8923333333333333
189,0.5836666666666667
190,0.555
191,0.5726666666666667
192,0.6096666666666667
193,0.6286666666666667
194,0.663
195,0.687
196,0.728
197,0.7596666666666667
198,0.7833333333333333
199,0.7543333333333333
200,0.805
201,0.8143333333333334
202,0.806
203,0.8246666666666667
204,0.857
205,0.8553333333333333
206,0.8426666666666667
207,0.8563333333333333
208,0.8923333333333333
209,0.8953333333333333
210,0.875
211,0.9146666666666666
212,0.9156666666666666
213,0.9293333333333333
214,0.9213333333333333
215,0.932
216,0.9166666666666666
217,0.926
218,0.9196666666666666
219,0.9396666666666667
220,0.9416666666666667
221,0.935
222,0.952
223,0.9523333333333334
224,0.9543333333333334
225,0.96
226,0.965
227,0.959
228,0.9753333333333334
229,0.9836666666666667
230,0.67
231,0.6546666666666666
232,0.796
233,0.823
234,0.8443333333333334
235,0.855
236,0.842
237,0.8626666666666667
238,0.8733333333333333
239,0.868
240,0.8643333333333333
241,0.8856666666666667
242,0.88
243,0.882
244,0.883
245,0.9013333333333333
246,0.866
247,0.8533333333333334
248,0.869
249,0.8803333333333333
250,0.882
251,0.9116666666666666
252,0.896
253,0.9023333333333333
254,0.7156666666666667
255,0.9133333333333333
256,0.9596666666666667
257,0.9903333333333333
258,0.989
259,0.8086666666666666
260,0.9963333333333333
261,0.995
262,0.9973333333333333
263,0.9976666666666667
264,0.9996666666666667
265,0.9963333333333333
266,0.9963333333333333
267,0.9996666666666667
268,0.9986666666666667
269,0.999
270,0.9953333333333333
271,0.9976666666666667
272,1.0
273,0.9993333333333333
274,1.0
275,0.999
276,1.0
277,1.0
278,0.9983333333333333
279,0.998
280,1.0
281,0.9973333333333333
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,0.9993333333333333
289,1.0
290,0.955
291,0.9756666666666667
292,0.9996666666666667
293,1.0
294,0.9993333333333333
295,1.0
296,0.9993333333333333
297,1.0
298,1.0
299,0.999
300,1.0
